gamma,time,basin
0.6196196196196196,206,2
0.6206206206206206,206,2
0.6216216216216216,206,2
0.6226226226226226,206,2
0.6236236236236237,206,2
0.6246246246246246,205,2
0.6256256256256256,205,2
0.6266266266266266,205,2
0.6276276276276276,205,2
0.6286286286286287,205,2
0.6296296296296297,205,2
0.6306306306306306,205,2
0.6316316316316316,205,2
0.6326326326326326,205,2
0.6336336336336337,205,2
0.6346346346346347,205,2
0.6356356356356356,205,2
0.6366366366366366,205,2
0.6376376376376376,205,2
0.6386386386386387,205,2
0.6396396396396397,205,2
0.6406406406406406,205,2
0.6416416416416416,205,2
0.6426426426426426,205,2
0.6436436436436437,205,2
0.6446446446446447,205,2
0.6456456456456456,205,2
0.6466466466466466,205,2
0.6476476476476476,205,2
0.6486486486486487,205,2
0.6496496496496497,205,2
0.6506506506506506,205,2
0.6516516516516516,205,2
0.6526526526526526,205,2
0.6536536536536537,205,2
0.6546546546546547,205,2
0.6556556556556556,205,2
0.6566566566566566,205,2
0.6576576576576576,205,2
0.6586586586586587,205,2
0.6596596596596597,205,2
0.6606606606606606,205,2
0.6616616616616616,205,2
0.6626626626626626,205,2
0.6636636636636637,205,2
0.6646646646646647,205,2
0.6656656656656657,205,2
0.6666666666666666,205,2
0.6676676676676676,205,2
0.6686686686686687,205,2
0.6696696696696697,205,2
0.6706706706706707,205,2
0.6716716716716716,205,2
0.6726726726726726,205,2
0.6736736736736737,205,2
0.6746746746746747,205,2
0.6756756756756757,205,2
0.6766766766766766,205,2
0.6776776776776777,205,2
0.6786786786786787,205,2
0.6796796796796797,205,2
0.6806806806806807,205,2
0.6816816816816816,205,2
0.6826826826826827,205,2
0.6836836836836837,205,2
0.6846846846846847,205,2
0.6856856856856857,205,2
0.6866866866866866,205,2
0.6876876876876877,205,2
0.6886886886886887,205,2
0.6896896896896897,205,2
0.6906906906906907,205,2
0.6916916916916916,205,2
0.6926926926926927,205,2
0.6936936936936937,205,2
0.6946946946946947,205,2
0.6956956956956957,205,2
0.6966966966966966,205,2
0.6976976976976977,205,2
0.6986986986986987,205,2
0.6996996996996997,205,2
0.7007007007007007,205,2
0.7017017017017017,205,2
0.7027027027027027,205,2
0.7037037037037037,205,2
0.7047047047047047,205,2
0.7057057057057057,205,2
0.7067067067067067,206,2
0.7077077077077077,206,2
0.7087087087087087,206,2
0.7097097097097097,206,2
0.7107107107107107,206,2
0.7117117117117117,206,2
0.7127127127127127,206,2
0.7137137137137137,206,2
0.7147147147147147,206,2
0.7157157157157157,206,2
0.7167167167167167,206,2
0.7177177177177178,206,2
0.7187187187187187,206,2
0.7197197197197197,206,2
0.7207207207207207,206,2
0.7217217217217217,206,2
0.7227227227227228,206,2
0.7237237237237237,206,2
0.7247247247247247,206,2
0.7257257257257257,206,2
0.7267267267267267,206,2
0.7277277277277278,206,2
0.7287287287287287,206,2
0.7297297297297297,206,2
0.7307307307307307,206,2
0.7317317317317317,206,2
0.7327327327327328,206,2
0.7337337337337337,207,2
0.7347347347347347,207,2
0.7357357357357357,207,2
0.7367367367367368,207,2
0.7377377377377378,207,2
0.7387387387387387,207,2
0.7397397397397397,207,2
0.7407407407407407,207,2
0.7417417417417418,207,2
0.7427427427427428,207,2
0.7437437437437437,207,2
0.7447447447447447,207,2
0.7457457457457457,207,2
0.7467467467467468,207,2
0.7477477477477478,207,2
0.7487487487487487,207,2
0.7497497497497497,207,2
0.7507507507507507,207,2
0.7517517517517518,208,2
0.7527527527527528,208,2
0.7537537537537538,208,2
0.7547547547547547,208,2
0.7557557557557557,208,2
0.7567567567567568,208,2
0.7577577577577578,208,2
0.7587587587587588,208,2
0.7597597597597597,208,2
0.7607607607607607,208,2
0.7617617617617618,208,2
0.7627627627627628,208,2
0.7637637637637638,208,2
0.7647647647647647,208,2
0.7657657657657657,209,2
0.7667667667667668,209,2
0.7677677677677678,209,2
0.7687687687687688,209,2
0.7697697697697697,209,2
0.7707707707707707,209,2
0.7717717717717718,209,2
0.7727727727727728,209,2
0.7737737737737738,209,2
0.7747747747747747,209,2
0.7757757757757757,209,2
0.7767767767767768,209,2
0.7777777777777778,210,2
0.7787787787787788,210,2
0.7797797797797797,210,2
0.7807807807807807,210,2
0.7817817817817818,210,2
0.7827827827827828,210,2
0.7837837837837838,210,2
0.7847847847847848,210,2
0.7857857857857857,210,2
0.7867867867867868,210,2
0.7877877877877878,211,2
0.7887887887887888,211,2
0.7897897897897898,211,2
0.7907907907907907,211,2
0.7917917917917918,211,2
0.7927927927927928,211,2
0.7937937937937938,211,2
0.7947947947947948,211,2
0.7957957957957957,211,2
0.7967967967967968,212,2
0.7977977977977978,212,2
0.7987987987987988,212,2
0.7997997997997998,212,2
0.8008008008008007,212,2
0.8018018018018018,212,2
0.8028028028028028,212,2
0.8038038038038038,212,2
0.8048048048048048,212,2
0.8058058058058059,213,2
0.8068068068068068,213,2
0.8078078078078078,213,2
0.8088088088088088,213,2
0.8098098098098098,213,2
0.8108108108108109,213,2
0.8118118118118118,213,2
0.8128128128128128,214,2
0.8138138138138138,214,2
0.8148148148148148,214,2
0.8158158158158159,214,2
0.8168168168168168,214,2
0.8178178178178178,214,2
0.8188188188188188,214,2
0.8198198198198198,215,2
0.8208208208208209,215,2
0.8218218218218218,215,2
0.8228228228228228,215,2
0.8238238238238238,215,2
0.8248248248248248,215,2
0.8258258258258259,216,2
0.8268268268268268,216,2
0.8278278278278278,216,2
0.8288288288288288,216,2
0.8298298298298298,216,2
0.8308308308308309,216,2
0.8318318318318318,217,2
0.8328328328328328,217,2
0.8338338338338338,217,2
0.8348348348348348,217,2
0.8358358358358359,217,2
0.8368368368368369,217,2
0.8378378378378378,218,2
0.8388388388388388,218,2
0.8398398398398398,218,2
0.8408408408408409,218,2
0.8418418418418419,218,2
0.8428428428428428,219,2
0.8438438438438438,219,2
0.8448448448448448,219,2
0.8458458458458459,219,2
0.8468468468468469,219,2
